,year_film,year_ceremony,ceremony,name,film,winner,category2
1,1927,1928,1,Emil Jannings,The Last Command,True,ACTOR
3,1927,1928,1,Janet Gaynor,7th Heaven,True,ACTRESS
6,1927,1928,1,William Cameron Menzies,The Dove;,True,ETC
9,1927,1928,1,Charles Rosher,Sunrise,True,CINEMATOGRAPHY
10,1927,1928,1,Karl Struss,Sunrise,True,CINEMATOGRAPHY
11,1927,1928,1,Lewis Milestone,Two Arabian Knights,True,DIRECTING
13,1927,1928,1,Frank Borzage,7th Heaven,True,DIRECTING
17,1927,1928,1,Roy Pomeroy,Wings,True,ETC
21,1927,1928,1,Paramount Famous Lasky,Wings,True,BEST PICTURE
22,1927,1928,1,Fox,Sunrise,True,ETC
27,1927,1928,1,Benjamin Glazer,7th Heaven,True,WRITING
29,1927,1928,1,Ben Hecht,Underworld,True,WRITING
36,1928,1929,2,Warner Baxter,In Old Arizona,True,ACTOR
45,1928,1929,2,Mary Pickford,Coquette,True,ACTRESS
47,1928,1929,2,Cedric Gibbons,The Bridge of San Luis Rey,True,ETC
52,1928,1929,2,Clyde De Vinna,White Shadows in the South Seas,True,CINEMATOGRAPHY
59,1928,1929,2,Frank Lloyd,The Divine Lady,True,DIRECTING
64,1928,1929,2,Metro-Goldwyn-Mayer,The Broadway Melody,True,BEST PICTURE
70,1928,1929,2,Hans Kraly,The Patriot,True,WRITING
73,1929,1930,3,George Arliss,Disraeli,True,ACTOR
82,1929,1930,3,Norma Shearer,The Divorcee,True,ACTRESS
86,1929,1930,3,Herman Rosse,King of Jazz,True,ETC
94,1929,1930,3,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,True,CINEMATOGRAPHY
98,1929,1930,3,Lewis Milestone,All Quiet on the Western Front,True,DIRECTING
100,1929,1930,3,Universal,All Quiet on the Western Front,True,BEST PICTURE
105,1929,1930,3,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,True,ETC
111,1929,1930,3,Frances Marion,The Big House,True,WRITING
115,1930,1931,4,Lionel Barrymore,A Free Soul,True,ACTOR
121,1930,1931,4,Marie Dressler,Min and Bill,True,ACTRESS
125,1930,1931,4,Max Rée,Cimarron,True,ETC
134,1930,1931,4,Floyd Crosby,Tabu,True,CINEMATOGRAPHY
139,1930,1931,4,Norman Taurog,Skippy,True,DIRECTING
140,1930,1931,4,RKO Radio,Cimarron,True,BEST PICTURE
149,1930,1931,4,Howard Estabrook,Cimarron,True,WRITING
154,1930,1931,4,John Monk Saunders,The Dawn Patrol,True,WRITING
159,1931,1932,5,Wallace Beery,The Champ,True,ACTOR
161,1931,1932,5,Fredric March,Dr. Jekyll and Mr. Hyde,True,ACTOR
164,1931,1932,5,Helen Hayes,The Sin of Madelon Claudet,True,ACTRESS
167,1931,1932,5,Gordon Wiles,Transatlantic,True,ETC
170,1931,1932,5,Lee Garmes,Shanghai Express,True,CINEMATOGRAPHY
171,1931,1932,5,Frank Borzage,Bad Girl,True,DIRECTING
178,1931,1932,5,Metro-Goldwyn-Mayer,Grand Hotel,True,BEST PICTURE
182,1931,1932,5,"Walt Disney, Producer",Flowers and Trees,True,ETC
186,1931,1932,5,"Hal Roach, Producer",The Music Box,True,ETC
191,1931,1932,5,"Mack Sennett, Producer",Wrestling Swordfish,True,ETC
197,1931,1932,5,Edwin Burke,Bad Girl,True,WRITING
199,1931,1932,5,Frances Marion,The Champ,True,WRITING
205,1932,1933,6,Charles Laughton,The Private Life of Henry VIII,True,ACTOR
207,1932,1933,6,Katharine Hepburn,Morning Glory,True,ACTRESS
210,1932,1933,6,William S. Darling,Cavalcade,True,ETC
231,1932,1933,6,"Charles Bryant Lang, Jr.",A Farewell to Arms,True,CINEMATOGRAPHY
234,1932,1933,6,Frank Lloyd,Cavalcade,True,DIRECTING
237,1932,1933,6,Fox,Cavalcade,True,BEST PICTURE
249,1932,1933,6,"Walt Disney, Producer",The Three Little Pigs,True,ETC
252,1932,1933,6,"Louis Brock, Producer",So This Is Harris,True,ETC
253,1932,1933,6,"Joe Rock, Producer",Krakatoa,True,ETC
256,1932,1933,6,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms,True,ETC
261,1932,1933,6,"Victor Heerman, Sarah Y. Mason",Little Women,True,WRITING
263,1932,1933,6,Robert Lord,One Way Passage,True,WRITING
266,1934,1935,7,Clark Gable,It Happened One Night,True,ACTOR
269,1934,1935,7,Claudette Colbert,It Happened One Night,True,ACTRESS
275,1934,1935,7,"Cedric Gibbons, Fredric Hope",The Merry Widow,True,ETC
278,1934,1935,7,John Waters,Viva Villa!,True,ETC
280,1934,1935,7,Victor Milner,Cleopatra,True,CINEMATOGRAPHY
282,1934,1935,7,Frank Capra,It Happened One Night,True,DIRECTING
290,1934,1935,7,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love,True,ETC
292,1934,1935,7,Music by Con Conrad; Lyrics by Herb Magidson,The Gay Divorcee,True,ETC
301,1934,1935,7,Columbia,It Happened One Night,True,BEST PICTURE
308,1934,1935,7,"Walt Disney, Producer",The Tortoise and the Hare,True,ETC
309,1934,1935,7,"Kenneth Macgowan, Producer",La Cucaracha,True,ETC
313,1934,1935,7,"Stacy Woodard and Horace Woodard, Producers",City of Wax,True,ETC
320,1934,1935,7,"Columbia Studio Sound Department, John Livadary, Sound Director",One Night of Love,True,ETC
323,1934,1935,7,Robert Riskin,It Happened One Night,True,WRITING
327,1934,1935,7,Arthur Caesar,Manhattan Melodrama,True,WRITING
332,1935,1936,8,Victor McLaglen,The Informer,True,ACTOR
337,1935,1936,8,Bette Davis,Dangerous,True,ACTRESS
341,1935,1936,8,Richard Day,The Dark Angel,True,ETC
346,1935,1936,8,"Clem Beauchamp, Paul Wing",The Lives of a Bengal Lancer,True,ETC
351,1935,1936,8,Hal Mohr,A Midsummer Night's Dream,True,CINEMATOGRAPHY
